Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
1,,,282604.500,4824791.789,51.291,,-5.69098451,43.54440945,51.291,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:45:56.2 UTC+02:00,2026-04-30 11:45:56.2 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2990.861,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
2,,,282611.592,4824794.936,51.207,,-5.69089809,43.54443982,51.207,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:01.6 UTC+02:00,2026-04-30 11:46:01.6 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2989.712,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
3,,,282615.506,4824797.321,51.191,,-5.69085065,43.54446241,51.191,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:04.8 UTC+02:00,2026-04-30 11:46:04.8 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2988.461,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
4,,,282618.782,4824801.792,51.089,,-5.69081193,43.54450358,51.089,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:09.0 UTC+02:00,2026-04-30 11:46:09.0 UTC+02:00,1,1.6,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2985.041,XIXO3M,ETRS89 / UTM zone 30N,9,10,7,11,0,Reach RS3,824349ADB8F8C4C3
5,,,282618.270,4824808.007,50.965,,-5.69082075,43.54455932,50.965,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:13.6 UTC+02:00,2026-04-30 11:46:13.6 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2978.927,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
6,,,282612.683,4824814.274,50.778,,-5.69089234,43.54461407,50.778,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:19.8 UTC+02:00,2026-04-30 11:46:19.8 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2971.399,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
7,,,282605.951,4824822.230,50.749,,-5.69097877,43.54468367,50.749,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:27.0 UTC+02:00,2026-04-30 11:46:27.0 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2961.939,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
8,,,282598.938,4824830.418,50.610,,-5.69106876,43.54475527,50.610,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:34.8 UTC+02:00,2026-04-30 11:46:34.8 UTC+02:00,1,1.6,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2952.192,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
9,,,282592.188,4824826.232,50.627,,-5.69115054,43.54471565,50.627,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:42.6 UTC+02:00,2026-04-30 11:46:42.6 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2954.441,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,10,0,Reach RS3,824349ADB8F8C4C3
10,,,282587.674,4824819.503,50.607,,-5.69120367,43.54465382,50.607,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:46:49.6 UTC+02:00,2026-04-30 11:46:49.6 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2959.748,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
11,,,282581.503,4824811.722,50.611,,-5.69127686,43.54458203,50.611,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:47:00.2 UTC+02:00,2026-04-30 11:47:00.2 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2965.654,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
12,,,282574.230,4824811.824,50.525,,-5.69136683,43.54458083,50.525,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:47:10.2 UTC+02:00,2026-04-30 11:47:10.2 UTC+02:00,1,1.6,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2963.687,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
13,,,282571.732,4824811.535,50.608,,-5.69139760,43.54457750,50.608,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:47:35.0 UTC+02:00,2026-04-30 11:47:35.0 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2963.325,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
14,,,282565.531,4824799.980,50.700,,-5.69146964,43.54447177,50.700,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:47:51.4 UTC+02:00,2026-04-30 11:47:51.4 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2972.915,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
15,,,282566.429,4824793.861,50.761,,-5.69145609,43.54441699,50.761,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:47:56.4 UTC+02:00,2026-04-30 11:47:56.4 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2979.056,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
16,,,282565.451,4824788.470,50.866,,-5.69146602,43.54436822,50.866,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:00.6 UTC+02:00,2026-04-30 11:48:00.6 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2984.019,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
17,,,282559.585,4824784.661,50.882,,-5.69153703,43.54433225,50.882,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:06.0 UTC+02:00,2026-04-30 11:48:06.0 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2986.235,XIXO3M,ETRS89 / UTM zone 30N,9,10,7,11,0,Reach RS3,824349ADB8F8C4C3
18,,,282549.174,4824784.051,50.905,,-5.69166551,43.54432374,50.905,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:13.8 UTC+02:00,2026-04-30 11:48:13.8 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2984.246,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
19,,,282538.667,4824779.921,51.008,,-5.69179379,43.54428353,51.008,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:22.4 UTC+02:00,2026-04-30 11:48:22.4 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2985.680,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
20,,,282527.762,4824777.170,51.066,,-5.69192751,43.54425561,51.066,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:30.4 UTC+02:00,2026-04-30 11:48:30.4 UTC+02:00,1,1.7,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2985.723,XIXO3M,ETRS89 / UTM zone 30N,9,10,7,11,0,Reach RS3,824349ADB8F8C4C3
21,,,282518.206,4824775.807,51.142,,-5.69204513,43.54424057,51.142,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:37.4 UTC+02:00,2026-04-30 11:48:37.4 UTC+02:00,1,1.8,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2984.778,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
22,,,282516.989,4824773.181,51.224,,-5.69205912,43.54421659,51.224,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:41.2 UTC+02:00,2026-04-30 11:48:41.2 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2987.040,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
23,,,282530.571,4824774.203,51.187,,-5.69189160,43.54422975,51.187,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:48:51.0 UTC+02:00,2026-04-30 11:48:51.0 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2989.269,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,11,0,Reach RS3,824349ADB8F8C4C3
24,,,282545.916,4824775.468,51.144,,-5.69170236,43.54424559,51.144,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 11:49:03.4 UTC+02:00,2026-04-30 11:49:03.4 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2991.754,XIXO3M,ETRS89 / UTM zone 30N,10,9,7,12,0,Reach RS3,824349ADB8F8C4C3
25,,,282555.076,4824776.703,51.107,,-5.69158960,43.54425937,51.107,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:49:10.2 UTC+02:00,2026-04-30 11:49:10.2 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2992.810,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
26,,,282583.148,4824785.693,50.897,,-5.69124609,43.54434840,50.897,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:49:33.4 UTC+02:00,2026-04-30 11:49:33.4 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2991.197,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
27,,,282590.757,4824787.567,51.095,,-5.69115276,43.54436747,51.095,Global,0.010,0.010,0.015,0.014,1.934,m,FIX,RTK,2026-04-30 11:49:39.0 UTC+02:00,2026-04-30 11:49:39.0 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2991.345,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
28,,,282510.116,4824793.900,50.938,,-5.69215241,43.54440094,50.938,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:50:44.4 UTC+02:00,2026-04-30 11:50:44.4 UTC+02:00,1,2.2,2.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2965.313,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
29,,,282509.084,4824801.701,50.871,,-5.69216829,43.54447081,50.871,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:50:50.2 UTC+02:00,2026-04-30 11:50:50.2 UTC+02:00,1,1.8,2.2,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2957.496,XIXO3M,ETRS89 / UTM zone 30N,9,10,7,12,0,Reach RS3,824349ADB8F8C4C3
30,,,282506.071,4824805.521,50.834,,-5.69220708,43.54450428,50.834,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:50:53.6 UTC+02:00,2026-04-30 11:50:53.6 UTC+02:00,1,1.9,2.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2953.081,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
31,,,282505.418,4824812.302,50.741,,-5.69221787,43.54456509,50.741,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 11:50:58.2 UTC+02:00,2026-04-30 11:50:58.2 UTC+02:00,1,1.8,2.2,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2946.344,XIXO3M,ETRS89 / UTM zone 30N,9,10,7,12,0,Reach RS3,824349ADB8F8C4C3
32,,,282503.844,4824816.649,50.711,,-5.69223907,43.54460373,50.711,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:01.6 UTC+02:00,2026-04-30 11:51:01.6 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2941.754,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
33,,,282500.687,4824819.335,50.657,,-5.69227918,43.54462697,50.657,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:04.6 UTC+02:00,2026-04-30 11:51:04.6 UTC+02:00,1,2.6,3.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2938.408,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
34,,,282495.562,4824819.946,50.734,,-5.69234280,43.54463097,50.734,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:09.2 UTC+02:00,2026-04-30 11:51:09.2 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2936.620,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
35,,,282494.740,4824816.848,50.739,,-5.69235173,43.54460287,50.739,Global,0.010,0.010,0.020,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:12.0 UTC+02:00,2026-04-30 11:51:12.0 UTC+02:00,1,1.9,2.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2939.441,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
36,,,282496.313,4824810.020,50.797,,-5.69232954,43.54454191,50.797,Global,0.011,0.010,0.019,0.015,1.934,m,FIX,RTK,2026-04-30 11:51:16.8 UTC+02:00,2026-04-30 11:51:16.8 UTC+02:00,1,2.4,2.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2946.441,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
37,,,282494.034,4824806.028,50.795,,-5.69235611,43.54450534,50.795,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:20.2 UTC+02:00,2026-04-30 11:51:20.2 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2949.796,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
38,,,282490.563,4824803.229,50.897,,-5.69239791,43.54447915,50.897,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:23.8 UTC+02:00,2026-04-30 11:51:23.8 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2951.719,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
39,,,282488.515,4824797.578,50.994,,-5.69242098,43.54442773,50.994,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:28.0 UTC+02:00,2026-04-30 11:51:28.0 UTC+02:00,1,1.7,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2956.745,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
40,,,282485.326,4824796.512,51.012,,-5.69245998,43.54441721,51.012,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:30.4 UTC+02:00,2026-04-30 11:51:30.4 UTC+02:00,1,1.7,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2957.057,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
41,,,282482.996,4824799.350,51.009,,-5.69248993,43.54444206,51.009,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 11:51:33.0 UTC+02:00,2026-04-30 11:51:33.0 UTC+02:00,1,1.9,2.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2953.768,XIXO3M,ETRS89 / UTM zone 30N,10,10,7,12,0,Reach RS3,824349ADB8F8C4C3
